,placed_by,order_id,exchange_order_id,parent_order_id,status,status_message,status_message_raw,order_timestamp,exchange_update_timestamp,exchange_timestamp,variety,modified,exchange,tradingsymbol,instrument_token,order_type,transaction_type,validity,validity_ttl,product,quantity,disclosed_quantity,price,trigger_price,average_price,filled_quantity,pending_quantity,cancelled_quantity,market_protection,meta,tag,tags,guid
0,XF6031,231129200221386,1200000002035622,,COMPLETE,,,2023-11-29 09:22:03,2023-11-29 09:22:03,2023-11-29 09:22:03,regular,False,NFO,NIFTY23D0720050CE,11045378,MARKET,SELL,DAY,0,MIS,50,0,0,0,129.75,50,0,0,0,{},MmxDSbthx41bgGw1,['MmxDSbthx41bgGw1'],5285X469IXpsAH2nQ
1,XF6031,231129200221475,1200000002036878,,COMPLETE,,,2023-11-29 09:22:04,2023-11-29 09:22:04,2023-11-29 09:22:04,regular,False,NFO,NIFTY23D0720050PE,11045634,MARKET,SELL,DAY,0,MIS,50,0,0,0,122.95,50,0,0,0,{},LswBkgPipuEbPeYn,['LswBkgPipuEbPeYn'],5285X1hHxVowel8Oi
2,XF6031,231129200474685,1200000006572006,,COMPLETE,,,2023-11-29 09:39:51,2023-11-29 09:39:51,2023-11-29 09:39:51,regular,False,NFO,NIFTY23D0720050CE,11045378,MARKET,BUY,DAY,0,MIS,50,0,0,0,143.3,50,0,0,0,{},77HS5gCG7f5ddIUo,['77HS5gCG7f5ddIUo'],5285XJyL6Sid15Lo5
3,XF6031,231129200474722,1200000006572607,,COMPLETE,,,2023-11-29 09:39:51,2023-11-29 09:39:51,2023-11-29 09:39:51,regular,False,NFO,NIFTY23D0720100CE,11045890,MARKET,SELL,DAY,0,MIS,50,0,0,0,115.65,50,0,0,0,{},naa0KVqQv9ouZyRg,['naa0KVqQv9ouZyRg'],5285Xt726P5wf0DfF
4,XF6031,231129200474787,1200000006573105,,COMPLETE,,,2023-11-29 09:39:51,2023-11-29 09:39:51,2023-11-29 09:39:51,regular,False,NFO,NIFTY23D0720100PE,11047170,MARKET,SELL,DAY,0,MIS,50,0,0,0,141.15,50,0,0,0,{},e1t8eWT1LdtJT3Ye,['e1t8eWT1LdtJT3Ye'],5285XZBnihZxa5cCA
5,XF6031,231129202057225,1200000047232003,,COMPLETE,,,2023-11-29 13:44:07,2023-11-29 13:44:07,2023-11-29 13:44:07,regular,False,NFO,NIFTY23D0720100CE,11045890,MARKET,BUY,DAY,0,MIS,50,0,0,0,151.95,50,0,0,0,{},MnVeDGySme4WiMnr,['MnVeDGySme4WiMnr'],5285XB1Nn9pwpZelW
6,XF6031,231129202057268,1200000047233582,,COMPLETE,,,2023-11-29 13:44:07,2023-11-29 13:44:07,2023-11-29 13:44:07,regular,False,NFO,NIFTY23D0720150CE,11047938,MARKET,SELL,DAY,0,MIS,50,0,0,0,123.1,50,0,0,0,{},jpr49kEaRExm81Gv,['jpr49kEaRExm81Gv'],5285XOk6ShbWxXlmw
7,XF6031,231129202057272,1200000047233772,,COMPLETE,,,2023-11-29 13:44:07,2023-11-29 13:44:07,2023-11-29 13:44:07,regular,False,NFO,NIFTY23D0720150PE,11051266,MARKET,SELL,DAY,0,MIS,50,0,0,0,136.5,50,0,0,0,{},U6NhuVy9jQTWT4ep,['U6NhuVy9jQTWT4ep'],5285XzytW0iipqnxK
8,XF6031,231129202698216,1200000067268942,,COMPLETE,,,2023-11-29 15:14:01,2023-11-29 15:14:01,2023-11-29 15:14:01,regular,False,NFO,NIFTY23D0720150CE,11047938,MARKET,BUY,DAY,0,MIS,50,0,0,0,148.7,50,0,0,0,{},8uFq3c5fsE8QYS7d,['8uFq3c5fsE8QYS7d'],5285Xs35v614di7Fa
9,XF6031,231129202698254,1200000067270720,,COMPLETE,,,2023-11-29 15:14:01,2023-11-29 15:14:01,2023-11-29 15:14:01,regular,False,NFO,NIFTY23D0720200CE,11051778,MARKET,SELL,DAY,0,MIS,50,0,0,0,120.6,50,0,0,0,{},e3sDmlpUH2IcMVFU,['e3sDmlpUH2IcMVFU'],5285Xd2Iok0Aur6Nr
10,XF6031,231129202698341,,,REJECTED,Insufficient funds. Required margin is 639669.55 but available margin is 631741.00. Check the orderbook for open orders.,"RMS:Margin Exceeds,Required:639669.55, Available:631741.00 for entity account-XF6031 across exchange across segment across product ",2023-11-29 15:14:02,,,regular,False,NFO,NIFTY23D0720200PE,11052034,MARKET,SELL,DAY,0,MIS,50,0,0,0,0.0,0,0,0,0,{},48B9I5LpsKUQaTJk,['48B9I5LpsKUQaTJk'],5285XPvu4U2FbyRUZ
11,XF6031,231129202700072,,,REJECTED,Insufficient funds. Required margin is 639673.75 but available margin is 631741.00. Check the orderbook for open orders.,"RMS:Margin Exceeds,Required:639673.75, Available:631741.00 for entity account-XF6031 across exchange across segment across product ",2023-11-29 15:14:11,,,regular,False,NFO,NIFTY23D0720200PE,11052034,MARKET,SELL,DAY,0,MIS,50,0,0,0,0.0,0,0,0,0,{},4bVNFOuJ8SvZlOmJ,['4bVNFOuJ8SvZlOmJ'],5285XBmGIcjW48csw
12,XF6031,231129202707277,1200000067516974,,COMPLETE,,,2023-11-29 15:14:51,2023-11-29 15:14:51,2023-11-29 15:14:51,regular,False,NFO,NIFTY23D0720050PE,11045634,MARKET,BUY,DAY,0,MIS,50,0,0,0,85.6,50,0,0,0,{},,,01X4jQirjKv8uHz
13,XF6031,231129202709544,1200000067582049,,COMPLETE,,,2023-11-29 15:15:03,2023-11-29 15:15:03,2023-11-29 15:15:03,regular,False,NFO,NIFTY23D0720200PE,11052034,MARKET,SELL,DAY,0,MIS,50,0,0,0,143.05,50,0,0,0,{},eeXqwa6jcEQwJe46,['eeXqwa6jcEQwJe46'],5285Xy5nUyy0D1dlu
14,XF6031,231129202799112,1900000079261845,,COMPLETE,,,2023-11-29 15:25:00,2023-11-29 15:25:00,2023-11-29 15:25:00,regular,False,NFO,NIFTY23DEC19300PE,16734722,LIMIT,BUY,DAY,0,NRML,50,0,40,0,38.75,50,0,0,0,{},,,01XcDwQr0XuYsi3
15,ADMINSQF,231129202804540,1200000069684105,,COMPLETE,,,2023-11-29 15:25:39,2023-11-29 15:25:39,2023-11-29 15:25:39,regular,False,NFO,NIFTY23D0720200PE,11052034,MARKET,BUY,DAY,0,MIS,50,0,0,0,138.95,50,0,0,0,{},,,
16,ADMINSQF,231129202804542,1200000069684110,,COMPLETE,,,2023-11-29 15:25:39,2023-11-29 15:25:39,2023-11-29 15:25:39,regular,False,NFO,NIFTY23D0720100PE,11047170,MARKET,BUY,DAY,0,MIS,50,0,0,0,98.25,50,0,0,0,{},,,
17,ADMINSQF,231129202804547,1200000069684112,,COMPLETE,,,2023-11-29 15:25:39,2023-11-29 15:25:39,2023-11-29 15:25:39,regular,False,NFO,NIFTY23D0720150PE,11051266,MARKET,BUY,DAY,0,MIS,50,0,0,0,117.0,50,0,0,0,{},,,
18,ADMINSQF,231129202804559,1200000069684120,,COMPLETE,,,2023-11-29 15:25:39,2023-11-29 15:25:39,2023-11-29 15:25:39,regular,False,NFO,NIFTY23D0720200CE,11051778,MARKET,BUY,DAY,0,MIS,50,0,0,0,120.3,50,0,0,0,{},,,
